s,,,,,,,,,
Year,GDP-US $ billion nominal,Population-US million,Protection-fed $ billion nominal,,Protection-xfer $ billion nominal,,Protection-state $ billion nominal,,Protection-local $ billion nominal
1792,0.223,4.173,0,,0,,0,,0
1793,0.249,4.3,0,,0,,0,,0
1794,0.312,4.432,0,,0,,0,,0
1795,0.38,4.567,0,,0,,0,,0
1796,0.413,4.707,0,,0,,0,,0
1797,0.405,4.85,0,,0,,0,,0
1798,0.409,4.998,0,,0,,0,,0
1799,0.437,5.151,0,,0,,0,,0
1800,0.476,5.308,0,,0,,0,,0
1801,0.509,5.476,0,,0,,0,,0
1802,0.446,5.648,0,,0,,0,,0
1803,0.482,5.826,0,,0,,0,,0
1804,0.527,6.01,0,,0,,0,,0
1805,0.556,6.199,0,,0,,0,,0
1806,0.611,6.395,0,,0,,0,,0
1807,0.583,6.596,0,,0,,0,,0
1808,0.64,6.804,0,,0,,0,,0
1809,0.68,7.019,0,,0,,0,,0
1810,0.699,7.24,0,,0,,0,,0
1811,0.76,7.45,0,,0,,0,,0
1812,0.779,7.666,0,,0,,0,,0
1813,0.96,7.889,0,,0,,0,,0
1814,1.068,8.118,0,,0,,0,,0
1815,0.916,8.354,0,,0,,0,,0
1816,0.811,8.596,0,,0,,0,,0
1817,0.761,8.846,0,,0,,0,,0
1818,0.73,9.102,0,,0,,0,,0
1819,0.72,9.367,0,,0,,0,,0
1820,0.703,9.638,0,,0,,0,,0
1821,0.728,9.921,0,,0,,0,,0
1822,0.798,10.212,0,,0,,0,,0
1823,0.752,10.511,0,,0,,0,,0
1824,0.747,10.819,0,,0,,0,,0
1825,0.814,11.136,0,,0,,0,,0
1826,0.858,11.462,0,,0,,0,,0
1827,0.907,11.798,0,,0,,0,,0
1828,0.888,12.144,0,,0,,0,,0
1829,0.921,12.5,0,,0,,0,,0
1830,1.012,12.866,0,,0,,0,,0
1831,1.042,13.235,0,,0,,0,,0
1832,1.118,13.614,0,,0,,0,,0
1833,1.147,14.005,0,,0,,0,,0
1834,1.207,14.406,0,,0,,0,,0
1835,1.327,14.819,0,,0,,0,,0
1836,1.465,15.244,0,,0,,0,,0
1837,1.539,15.682,0,,0,,0,,0
1838,1.582,16.131,0,,0,,0,,0
1839,1.645,16.594,0,,0,,0,,0
